Order1	OTU_names	Sgenus	Good_ClassComp	Good_Class	Genus
56	6718eb07f4a1ded94863a63d5e19474e	Veillonella	Veillonella_atypica_or_Veillonella_dispar	Veillonella_atypica*	Veillonella
57	0a51c036a2a4d2cfe67c5125856bf1af	Dialister	Dialister_propionicifaciens	Dialister_propionicifaciens	Dialister
58	aa3d8022b9cbe0f9d2e4897c934909a3	Dialister	Dialister_hominis	Dialister_hominis	Dialister
59	b51f07b94d5d868fcfc3022c4829e89a	Dialister	Dialister_micraerophilus	Dialister_micraerophilus	Dialister
60	b73bd70d047ba81753692294c5549997	Dialister	Dialister_micraerophilus	Dialister_micraerophilus	Dialister
61	f6ddf3298e518eae009ec550fbc813fd	Peptostreptococcus	Peptostreptococcus_anaerobius	Peptostreptococcus_anaerobius	Peptostreptococcus
62	4ba057ae8af383c20e5612e9b5e91317	Bifidobacterium	Bifidobacterium_dentium	Bifidobacterium_dentium	Bifidobacterium
63	df5ff4f4f1840f4b6aafc571df226813	Scardovia	Scardovia_wiggsiae	Scardovia_wiggsiae	Scardovia
64	d6ff7c081ad84655cd411e3a41178401	Bifidobacterium	Bifidobacterium_minimum_or_Alloscardovia_omnicolens	Bifidobacterium_minimum*	Bifidobacterium
65	e54062c96879248db35b4f0992d62365	Gardnerella	Gardnerella_vaginalis	Gardnerella_vaginalis	Gardnerella
66	f975527ad3b3242fceecc34cf21888aa	Gardnerella	Gardnerella_vaginalis	Gardnerella_vaginalis	Gardnerella
67	cf543426bcdafacf0e47c78cf42ae86a	Gardnerella	Gardnerella_vaginalis	Gardnerella_vaginalis	Gardnerella
68	e4f2ffbe84d93c502ee2a21a48a7ba7a	Gardnerella	Gardnerella_vaginalis	Gardnerella_vaginalis	Gardnerella
69	8240e7e22291b566c4a8c25b50fcb51f	Gardnerella	Gardnerella_vaginalis	Gardnerella_vaginalis	Gardnerella
70	29398c0f594f01567040fb9c6f54507a	Gardnerella	Gardnerella_vaginalis	Gardnerella_vaginalis	Gardnerella
71	f2807e12805bb3c91abf36807efea689	Mobiluncus	Mobiluncus_curtisii	Mobiluncus_curtisii	Mobiluncus
72	2158835d87b4c00f8dd1e14a6a13bd54	Brevibacterium	Brevibacterium_ravenspurgense	Brevibacterium_ravenspurgense	Brevibacterium
73	26028f21d645424a99ac2c8af2333229	<NA>	Pseudoglutamicibacter_cumminsii_Arthrobacter_albus_or_Arthrobacter_cumminsii	Pseudoglutamicibacter_cumminsii*	Pseudoglutamicibacter
74	88e8814de1a426f376495d4edff2add6	Corynebacterium	Corynebacterium_nigricans_Corynebacterium_aurimucosum_or_Corynebacterium_singulare	Corynebacterium_nigricans*	Corynebacterium
75	900e834d0add0c8269ec2e6057449e63	Corynebacterium	Corynebacterium_tuberculostearicum_or_Corynebacterium_pseudogenitalium	Corynebacterium_tuberculostearicum*	Corynebacterium
76	20cb45675c3e45a02415e630777ae001	Corynebacterium	Corynebacterium_jeikeium	Corynebacterium_jeikeium	Corynebacterium
77	30d3ed513d2487ebacec1d3806b5ccae	<NA>	Lawsonella_clevelandensis	Lawsonella_clevelandensis	Lawsonella
78	128bd660980661c8e6878585150c3f48	Corynebacterium	Corynebacterium_sundsvallense_or_Corynebacterium_thomssenii	Corynebacterium_sundsvallense*	Corynebacterium
79	20efe8bff0b75d6ad3215754b1df660e	Corynebacterium	Corynebacterium_genitalium	Corynebacterium_genitalium	Corynebacterium
80	609fd7ef7178c45e2dfc26af399a030c	Corynebacterium	Corynebacterium_tuscaniense	Corynebacterium_tuscaniense	Corynebacterium
81	1880502acb0c859b4195b7c207267091	Corynebacterium	Corynebacterium_pseudogenitalium	Corynebacterium_pseudogenitalium	Corynebacterium
82	6ac29eca18c7b7271427747b410132fc	Corynebacterium	Corynebacterium_coyleae_or_Corynebacterium_mucifaciens	Corynebacterium_coyleae*	Corynebacterium
83	563395e43ea73827809d66727b023e5b	Corynebacterium	Corynebacterium_amycolatum_Corynebacterium_lactis_or_Corynebacterium_jeikeium	Corynebacterium_amycolatum*	Corynebacterium
84	c7a1cbc34352199b71d1530ff0668260	Actinobaculum	Actinotignum_schaalii_or_Actinotignum_sanguinis	Actinotignum_schaalii*	Actinotignum
85	aede7bae6ae3c80cca675030fc4d93d8	Varibaculum	Varibaculum_cambriense_or_Varibaculum_anthropi	Varibaculum_cambriense*	Varibaculum
86	a852e96796cd155fc31328b1fe0bcc3f	Actinomyces	Actinomyces_neuii	Actinomyces_neuii	Actinomyces
87	83c4e2024c8991e8309787e987f83d8e	Bifidobacterium	Bifidobacterium_bifidum_or_Bifidobacterium_longum	Bifidobacterium_bifidum*	Bifidobacterium
88	042c16e5b0f6444ef0466ba21a59fbd9	Bifidobacterium	Bifidobacterium_breve_or_Bifidobacterium_longum	Bifidobacterium_breve*	Bifidobacterium
89	94fab4b313d618061dce59c65dcf469e	Atopobium	Atopobium_vaginae	Atopobium_vaginae	Atopobium
90	b8537038badffd73044d2065b0e8e5f2	Atopobium	Atopobium_vaginae	Atopobium_vaginae	Atopobium
